match_api_id,home_team_api_id,home_team_goal,home_team_aggression,away_team_api_id,away_team_goal,away_team_aggression
1,9987,5,55,9993,9,90
2,9987,5,53,10000,3,30
3,9987,5,49,9994,7,70
4,9987,5,47,9984,1,10
5,9993,9,92,9987,5,50
6,9993,9,91,10000,3,30
7,9993,9,89,9994,7,70
8,9993,9,90,9984,1,10
9,10000,3,35,9987,5,50
10,10000,3,28,9993,9,90
11,10000,3,30,9994,7,70
12,10000,3,31,9984,1,10
13,9994,7,72,9987,5,50
14,9994,7,69,9993,9,90
15,9994,7,70,10000,3,30
16,9994,7,71,9984,1,10
17,9984,1,9,9987,5,50
18,9984,1,11,9993,9,90
19,9984,1,15,10000,3,30
20,9984,1,13,9994,7,70
